,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
FCGR2B,27.091871,30.123558,48.90918,74.446495,50.055855,95.51669,22.178427,80.23752,91.94909,64.284,46.90911,55.308064,28.622683,14.606939,34.237118,195.15968,18.981497,34.856323,19.30962,6.709114,3.274418,8.091401,2.7764952,10.670113,5.11014,5.109513,18.769682,10.286615,5.1164308,3.5176659,8.293689,10.220662,19.079744,6.940803,15.482627,12.874789,40.492805,22.347963,28.83879,50.892414,16.221949
HLA-DRA,333.00348,273.62827,213.09264,1238.4113,863.4261,668.4051,122.83595,1830.469,1194.5217,575.9154,1064.2179,461.40497,295.3988,163.1501,195.39394,727.4775,619.6673,400.5408,302.98486,177.3654,137.44519,277.45956,230.11407,211.74924,146.03577,170.28178,132.90411,194.96486,200.09045,116.65218,275.4363,32.9324,155.3282,58.43919,532.66547,399.93802,740.6223,385.4966,525.0832,904.68945,236.78271
NR4A1,109.16045,122.87672,15.731421,60.537937,80.28121,115.397156,97.30324,37.62064,33.51927,70.65816,64.3901,114.87886,91.09921,62.06283,14.789277,39.072544,70.90718,34.14222,55.873257,15.739522,5.0088744,3.130406,32.22387,69.34594,24.585121,58.186314,60.36067,22.728985,39.89278,4.847787,29.744944,4.3638673,20.174713,5.0702677,48.748768,28.350473,24.36939,37.654335,15.516201,22.870968,7.272938
PTN,128.45824,116.52352,127.37215,105.74547,104.45111,97.94005,177.22871,100.52251,165.48895,99.25439,84.94106,55.762356,115.614876,52.700356,69.40137,50.182255,97.5652,57.63325,442.54572,375.12503,530.71814,470.03442,346.97412,294.44006,210.66763,568.0116,307.5646,629.35486,172.30168,173.14285,200.78838,430.6408,214.37093,127.66678,671.9477,463.31293,715.49786,1027.6969,657.27716,616.77344,1117.6345
SEMA5A,35.902092,32.01125,28.048965,54.800133,46.048367,25.742256,23.532637,23.76533,62.58171,29.837835,24.44788,29.94383,21.378904,38.090107,29.151114,31.621805,52.35389,36.30711,282.07233,34.09568,193.96959,804.2821,86.79654,90.050835,110.09724,131.11726,236.9639,363.45413,94.37391,50.08801,100.787254,120.88389,84.92849,59.418625,237.02159,373.88608,86.16672,69.762764,49.128746,56.14951,205.16162
LYZ,178.94804,57.455345,145.09798,993.24255,1475.0455,1208.3842,82.60268,1532.6487,761.74536,1028.4811,763.06604,601.40735,94.482285,394.18222,164.11739,1180.3611,576.1253,565.22,146.01678,16.870262,15.302805,237.51843,222.08516,142.06598,304.58344,180.31726,108.42381,153.7585,163.56421,94.70638,52.03045,44.052876,36.46328,104.76054,59.95728,113.64583,96.96664,101.34875,77.70761,282.08612,177.27219
CCL8,34.330475,26.979883,34.246746,103.30981,75.31804,65.139336,25.799694,162.16165,67.40889,43.06853,55.032536,81.72844,57.46067,35.846897,18.449667,89.78349,62.982185,43.894764,17.871613,10.158322,1.3190101,23.656849,5.2773013,13.854744,8.48419,44.281807,24.518587,7.2047896,19.084984,5.258627,8.859847,18.067122,21.060951,12.591432,93.27384,48.704353,71.338715,16.728947,33.337196,99.367836,19.778063
GDF7,32.86541,36.396545,30.79153,74.763695,28.73618,24.507238,8.11803,17.860748,62.09516,21.775446,49.61306,23.720734,19.482738,22.83293,42.11477,23.291311,86.18739,33.35462,381.6066,55.045918,507.28983,528.2038,680.9954,303.67978,435.7312,215.55199,610.1279,824.43695,376.1685,318.54922,468.2178,65.29237,62.836075,373.32742,190.32974,507.43884,82.655495,121.57325,75.91142,95.916405,695.35583
IGLC1,559.2709,1160.8793,1098.3406,3248.5286,1127.624,3689.1614,349.14755,8064.139,6020.8857,1509.7191,1217.2052,1896.9102,1594.4216,270.65952,299.07068,2795.6272,622.8535,2276.6238,288.2229,89.47013,35.51895,262.5228,20.94808,37.2079,88.31662,62.23069,45.738747,68.300995,36.744873,48.43817,58.932346,34.577534,52.661,20.59313,55.486744,309.8257,117.00183,50.24315,26.26178,65.933014,720.6155
MSR1,13.923345,23.641506,19.76982,72.07881,68.48932,60.84608,14.740356,147.74959,37.718624,41.345547,51.37594,47.92683,34.486256,21.154745,14.824266,91.42011,24.015224,19.279276,10.0351515,13.031643,12.832461,18.095173,10.537873,8.31033,7.1053624,14.320591,14.646613,17.437523,9.6907835,13.253867,11.549962,1.6868103,7.9132757,6.270735,7.541039,5.056826,9.759102,24.228443,9.628375,45.268234,9.24339
